eid source target dir capacity speed_mph cost_time tt_user tt_soc
18056 81 55 1 950 20 0.16893698552 0.219619 0.219619
25363 82 13378 1 1900 30 0.260154210693 0.338215 0.338201
755 83 5115 1 950 20 0.954706765275 1.24129 1.24129
18120 83 12958 1 950 20 0.191610605132 0.249106 0.249106
7523 84 923 1 950 20 4.28021677872 5.56428 5.56428
24368 84 171 1 950 20 0.124885790648 0.162352 0.163211
9989 85 2806 1 5400 40 0.914478711206 1.51634 1.74442
30150 86 128 1 1900 30 0.156685569878 0.203691 0.203691
20495 86 72 1 1900 30 1.08087078975 1.40513 1.40513
36430 86 5089 1 1900 30 0.1057280294 0.137446 0.137446
17327 87 2005 1 5400 40 0.273078520726 0.648521 0.516174
14130 88 1793 1 1900 30 0.69325081848 0.937235 0.949738
32884 88 422 1 1900 30 1.44296897673 1.87586 1.87586
33516 89 14970 1 950 20 2.11681005219 2.75185 2.75185
6060 89 13627 1 1900 30 0.0188369084643 0.024488 0.024488
29584 89 348 1 1900 30 0.979014382541 1.27272 1.27272
2315 90 5193 1 950 20 0.0265501373708 0.0410948 0.0453864
27646 90 4727 1 950 20 2.16308162615 2.82938 2.89745
19678 91 5043 1 950 20 0.486984472444 0.64173 0.669684
164 92 786 1 8100 40 0.337174551755 0.439559 0.438685
4523 92 869 1 6900 60 0.219950311977 0.290585 0.29128
4664 93 5185 1 5400 40 0.0237873748047 0.0309236 0.0309236
22283 93 94 1 5400 40 0.23173453935 0.306404 0.309837
8732 94 12399 1 5400 40 0.275458027966 0.363699 0.367536
27686 95 2497 1 950 20 0.0608498000233 0.0791049 0.0791049
15440 95 14778 1 950 20 0.356107059408 0.462939 0.462939
34120 95 323 1 950 20 0.130913125729 0.170187 0.170187
13977 96 2129 1 1900 30 0.310233309568 0.403304 0.403306
18878 96 2810 1 1900 30 0.823946786426 1.09184 1.1045
33366 96 2561 1 1900 30 0.0832717410001 0.108253 0.108398
821 97 136 1 950 20 0.120525670635 0.156686 0.157223
26972 97 14650 1 950 20 1.14436782613 1.48769 1.48784
20552 98 121 1 1900 20 0.0460067579387 0.060164 0.0604721
4033 98 12262 1 1900 30 0.0745957509585 0.0971044 0.0972778
282 99 2033 1 950 20 0.186095306558 0.241924 0.241924
13960 99 1076 1 950 20 0.163116683632 0.212053 0.212053
25979 100 11845 1 1900 20 0.0454417977959 0.0590743 0.0590743
11688 101 6636 1 5400 40 0.364785670489 0.47423 0.474241
