eid source target dir capacity speed_mph cost_time tt_user tt_soc
35173 37 18400 1 1900 30 0.0333939823472 0.033394 0.033394
35165 37 25 1 1900 30 0.170126785758 0.170127 0.170127
4768 37 18330 1 1900 30 0.0353935722095 0.0353936 0.0353936
46645 38 16713 1 1900 30 0.00462213567696 0.00462215 0.00462214
31860 38 16172 1 1900 20 0.0825255422851 0.0825259 0.0825364
27315 38 10373 1 1900 30 0.0181194349613 0.0181194 0.0181194
36409 39 15325 1 950 20 5.27526970078 5.27527 5.27527
17252 40 298 1 1900 30 0.976958343825 0.976958 0.976958
4746 40 18397 1 1900 20 0.18615699992 0.186157 0.186157
26292 41 12515 1 8100 40 0.149002244979 0.149002 0.149002
27560 42 16220 1 950 20 0.135821946769 0.136118 0.144674
46763 42 16222 1 950 20 0.246023577519 0.246024 0.246024
38363 43 5579 1 6900 60 0.28240465662 0.282405 0.282405
11212 43 9277 1 6900 60 0.172758250106 0.173531 0.174739
4755 44 18400 1 1900 30 0.0351664326524 0.035169 0.0354
39569 45 8881 1 950 20 0.260236625756 0.274799 0.298768
31870 46 15410 1 950 20 0.0912992490545 0.0913052 0.091314
13551 47 18304 1 950 20 0.245934064551 0.245934 0.245934
39431 47 61 1 950 20 2.8321447958 2.83216 2.83217
40675 48 7585 1 5400 40 0.0246749671317 0.024675 0.024675
15836 48 7586 1 5400 40 0.0485296684187 0.0485297 0.0485297
402 48 5387 1 5400 40 0.0825276306599 0.082587 0.0826001
20712 49 9363 1 950 20 0.0454072709066 0.104606 0.0737361
20745 49 9356 1 950 20 0.207282057042 0.263351 0.238774
29717 50 5296 1 950 20 0.0708753902655 0.0708754 0.0708754
20594 50 9053 1 950 20 0.081838947281 0.0818408 0.0818682
28391 51 4742 1 950 20 0.0728846194222 0.072886 0.0729002
26603 51 1047 1 1900 30 0.0497322980167 0.0563817 0.0532407
21280 52 14167 1 1900 30 0.0499337592638 0.0700327 0.0660368
16854 53 15729 1 950 20 0.920569597682 0.920572 0.920572
41263 53 9179 1 950 20 6.08703984519 6.08704 6.08704
40087 53 2661 1 950 20 3.82885211685 3.82885 3.82885
47227 54 7320 1 950 20 0.284923948558 0.285103 0.285261
28557 54 7690 1 950 20 0.249257980697 0.570858 0.595106
44911 54 235 1 950 20 1.90152663337 10.8897 10.8896
21065 7416 6252 1 5400 40 0.0510835 0.0510976 0.0511545
20410 55 16037 1 5400 40 0.0417117506225 0.0417263 0.0417917
11823 56 9357 1 5400 40 0.0154001155794 0.0154076 0.0154074
7115 57 12858 1 5400 40 0.214628325859 0.214628 0.214628
20622 57 16733 1 5400 40 0.303982468576 0.303984 0.303988
4179 58 491 1 5400 40 0.0342477327769 0.0342477 0.0342477
34851 58 84 1 5400 40 0.0196048156439 0.0196048 0.0196048
11772 58 6719 1 5400 40 0.660836296256 0.660837 0.660846
10347 59 15293 1 1900 30 0.0996909355037 0.346476 0.297716
6352 60 1609 1 5400 40 3.30308671263 3.30312 3.3031
35949 60 15036 1 5400 40 0.959204465052 0.959621 0.959552
13354 60 61 1 950 20 7.27249109699 7.27249 7.27249
14935 61 3106 1 950 20 0.817313999689 0.817317 0.817319
39433 61 60 1 950 20 7.27249109699 7.27249 7.27249
40207 61 3734 1 950 20 1.86212957192 1.86213 1.86213
13352 61 47 1 950 20 2.8321447958 2.83214 2.83214
48211 62 11466 1 950 20 2.47587312921 2.47587 2.47587
25064 62 9635 1 950 20 0.708277492238 0.708282 0.708287
32941 63 9362 1 950 20 5.58975302884 5.58975 5.58975
48193 63 8693 1 950 20 0.0384969891328 0.038497 0.038497
20575 64 69 1 950 20 0.117151963902 0.192431 0.151447
20580 64 9951 1 950 20 0.0468692420209 0.0468739 0.0469014
20573 65 90 1 950 20 0.818852731075 1.31947 1.04386
20576 65 69 1 950 20 0.152546410003 0.152577 0.152707
28383 67 18116 1 1900 30 0.954826058061 0.954826 0.954826
45825 67 9094 1 1900 30 0.038191163065 0.0381912 0.0381912
3508 68 148 1 1900 30 1.35326093169 1.35326 1.35326
43311 69 64 1 950 20 0.117151963902 0.117169 0.117252
20577 69 65 1 950 20 0.139901538759 0.227594 0.179585
6036 70 73 1 1900 30 0.0211518285599 0.0228547 0.0230411
31186 71 655 1 6900 60 0.149235717204 0.174459 0.162942
22324 72 71 1 6900 60 0.0285314471051 0.0334591 0.0312186
26622 73 3090 1 1900 30 0.0100557676848 0.0100843 0.0100571
6037 73 11501 1 1900 30 0.40027441825 0.402737 0.412387
20717 74 9360 1 950 20 0.0450541595976 0.0620389 0.0549118
20718 74 9346 1 1900 30 0.245181853117 0.255145 0.246511
32430 75 2880 1 950 20 0.0627210584075 0.0627211 0.0627211
8815 76 16155 1 950 20 0.0120319955428 0.0121774 0.0122724
19183 77 33 1 1900 30 0.0470275320631 0.0483448 0.0471927
26212 77 7938 1 1900 30 0.0309546572849 0.0309547 0.0309549
20218 78 2640 1 950 20 0.057294550433 0.0573308 0.0573126
42195 78 2631 1 950 20 0.0684982454383 0.0684989 0.0684983
43133 78 3375 1 950 20 0.905748004108 2.88874 2.25179
13165 79 171 1 1900 30 0.130444769499 0.130445 0.130445
5385 80 7505 1 950 20 0.260903968752 0.260904 0.260904
31907 80 9717 1 1900 30 0.0151247287817 0.0151307 0.0151285
26536 81 6683 1 950 20 0.0715881392847 0.0715885 0.0715885
14229 81 6883 1 950 20 0.0449043731826 0.0449044 0.0449044
11903 82 832 1 950 20 0.0928261639772 0.124192 0.101671
8820 83 16173 1 950 20 0.0239209816554 0.0239224 0.023921
31726 83 13326 1 950 20 0.184712116008 0.246825 0.226208
4181 84 58 1 5400 40 0.0196048156439 0.0196048 0.0196048
34839 84 19 1 5400 40 0.0282613247754 0.0282613 0.0282613
33161 85 6009 1 5400 40 1.45766353269 1.45766 1.45766
791 85 5422 1 5400 40 5.40724352594 5.40724 5.40724
40089 85 17231 1 1900 30 3.90857503246 3.90858 3.90858
48535 86 16168 1 950 20 0.702081052211 0.702099 0.702099
31340 86 16163 1 950 20 0.0311760744232 0.0311761 0.0311761
26040 86 16132 1 950 20 0.577855219581 0.577855 0.577858
47955 87 2881 1 5400 40 0.0128947179901 0.0128948 0.0128948
8660 87 4879 1 950 20 0.152603355277 0.152662 0.152914
36729 88 12884 1 5400 40 0.281141862715 0.2813 0.281302
7303 88 16238 1 5400 40 0.0363063822366 0.0363064 0.0363064
11902 89 82 1 950 20 0.0585393738434 0.0631286 0.0588747
11904 89 5645 1 1900 30 0.436655321175 0.439666 0.439707
43309 90 65 1 950 20 0.818852731075 0.819073 0.819901
20578 90 9796 1 950 20 0.0587502424367 0.0939564 0.0744758
18711 91 16792 1 950 20 2.43558188375 2.43558 2.43558
16116 91 11451 1 950 20 2.93024505792 2.93025 2.93025
16990 92 15657 1 1900 30 0.0912990599397 0.0912991 0.0912991
20579 93 90 1 950 20 0.0587794337741 0.0588011 0.0588722
3465 93 9796 1 950 20 0.0482227449891 0.0482362 0.0482332
9573 94 6236 1 5400 40 0.0797953128599 0.168884 0.131374
16119 95 4795 1 5400 40 0.0393210179318 0.0393211 0.0393211
22990 95 8694 1 5400 40 1.55402615631 1.67674 1.76746
40989 96 6028 1 1900 30 8.1211487223 8.12117 8.12117
13047 96 7293 1 1900 30 3.08475568742 3.08476 3.08476
39251 96 5559 1 1900 30 4.67623259518 4.67665 4.67681
27283 97 64 1 950 20 0.0437456775923 0.0725578 0.0569604
25642 97 9951 1 950 20 0.0423995330045 0.0423995 0.0423995
13682 98 14591 1 6900 60 0.611441143674 0.614546 0.616828
45171 99 14038 1 1900 30 0.00597092498315 0.00597161 0.00597155
24350 99 10214 1 1900 30 0.0119184673192 0.0119185 0.0119185
1282 100 7485 1 6900 60 0.111860299445 0.112133 0.112391
37211 101 16354 1 5400 40 0.0669630957911 0.0669631 0.0669631
31941 101 15076 1 5400 40 6.97231996324 6.97232 6.97232
27435 102 142 1 1900 30 0.0410347211799 0.0410347 0.0410347
31783 103 8569 1 8100 40 0.397334736746 0.404241 0.404361
