nid lon lat
75 -71.2570227 42.3374315
76 -71.058419 42.307579
77 -71.0784008 42.3468812
78 -70.860022 42.795914
79 -70.720552 42.094939
80 -70.8548052 42.15511
81 -71.0183951 42.4289621
82 -70.9556728 42.1917664
83 -71.122386 42.757398
84 -71.2747646 42.313324
85 -71.03155 42.25565
87 -71.0562214 42.3619108
88 -70.830241 42.060021
89 -71.0905902 42.7783695
90 -71.117008 42.4797
91 -70.917655 42.742587
92 -71.0512967 42.3559839
93 -71.2143559 42.4766639
94 -71.35841 42.14871
95 -71.146442 42.350061
96 -71.100223 42.504194
97 -70.965834 42.579614
98 -71.1179743 42.4210824
99 -71.331357 42.502592
100 -71.0764191 42.3483098
101 -71.0769224 42.3492752
102 -71.0766862 42.3487995
103 -71.05462 42.361464
104 -71.0846012 42.3461002
105 -71.134674 42.34685
106 -71.1356 42.34623
107 -71.12585 42.34682
108 -71.052873 42.3540473
109 -70.905552 42.231051
110 -71.537976 42.435573
111 -71.0714904 42.3534935
112 -71.169514 42.7402282
113 -71.1695973 42.740271
114 -71.064637 42.3654703
115 -71.169432 42.7402949
116 -71.1695166 42.7403421
117 -70.95801 42.19558
118 -71.21072 42.357634
119 -71.0510746 42.355976
120 -70.886027 42.496342
121 -71.0898804 42.5724057
122 -70.9621365 42.5918804
123 -71.0250663 42.3675384
124 -71.13823 42.347588
125 -71.2149107 42.5680021
126 -71.215277 42.5680527
127 -71.127588 42.75467
128 -71.552099 42.146396
129 -70.949132 42.7572
130 -71.3483838 42.4602062
131 -71.066613 42.348761
132 -70.9326316 42.1877661
133 -70.9694577 42.5853658
134 -71.157079 42.34909
135 -71.353138 42.5613
136 -71.1534289 42.349109
137 -70.8493 41.8461
138 -70.6626 42.076848
139 -71.1881842 42.2188018
140 -71.2494951 42.3048844
141 -71.151915 42.35164
142 -71.0730624 42.3512497
143 -71.1695707 42.5101993
144 -70.90799 42.12322
145 -71.3181271 42.5356021
146 -71.3089794 42.6353738
147 -71.1178602 42.5019261
148 -71.1276744 42.3625624
149 -71.110065 42.773841
150 -71.070502 42.222545
151 -71.141564 42.502677
152 -71.0860442 42.349571
153 -71.1060495 42.4144151
154 -71.4314888 42.3058808
155 -71.612725 42.166273
156 -71.14729 42.333114
157 -71.0885301 42.3489062
158 -70.931242 42.840722
159 -71.155746 42.349114
160 -71.241734 41.848629
161 -71.0722223 42.349537
162 -71.0726609 42.3504312
163 -70.896956 42.165439
164 -71.068026 42.347978
165 -70.927161 42.746094
166 -71.0928488 42.3491674
167 -70.972396 42.55898
168 -71.0570581 42.3495392
170 -71.0928427 42.3488325
171 -70.878638 42.553526
173 -71.0862163 42.3499227
174 -70.727093 42.055638
175 -71.0794908 42.3495098
176 -71.0603801 42.3472336
177 -71.147079 42.350165
178 -71.141572 42.023465
179 -71.0716077 42.3482841
180 -70.91241 42.841215
181 -70.985263 42.037666
182 -71.0717915 42.3486588
183 -70.9326169 42.8550087
184 -71.382737 42.506296
185 -71.3549006 41.8979707
186 -71.692529 42.519435
187 -71.0278192 42.2406861
188 -70.8806704 42.714489
189 -71.0292433 42.3783694
190 -71.0670601 42.0894
191 -71.0856438 42.3487528
192 -71.34582 42.08754
193 -71.0881317 42.3480939
194 -71.0944628 42.3451709
195 -71.0828868 42.4013809
196 -70.658582 41.935067
197 -71.335216 42.539427
198 -71.0943364 42.3455519
199 -71.418528 42.384983
200 -71.0953381 42.3452327
201 -70.916926 41.880894
202 -70.8442093 42.6842792
203 -71.614426 42.268182
204 -70.867641 42.563943
205 -71.065992 42.527053
206 -71.0278279 42.2406295
207 -71.1341864 42.5369322
208 -71.0262895 42.4067324
209 -71.0278436 42.2403543
210 -71.4412501 42.4725411
211 -71.1212373 42.3088655
212 -71.052356 42.80282
213 -71.0280269 42.2403686
214 -71.069833 42.345264
215 -71.0615389 42.3205394
216 -70.868387 41.843634
217 -71.690409 42.518628
218 -71.0614424 42.3204541
219 -71.069911 42.342564
220 -71.0619499 42.3201172
221 -71.098548 42.504674
222 -71.0881532 42.4110613
223 -70.7654578 42.5900517
224 -71.1021851 42.3428486
225 -70.9150531 41.9075509
226 -71.369925 42.503725
227 -70.9148294 41.9075605
228 -71.141918 42.343189
229 -71.0785329 42.3431933
230 -70.919313 42.521752
231 -71.0542991 42.3428656
232 -71.196918 42.4037291
233 -71.0602773 42.3489361
234 -71.0593497 42.3487561
235 -71.0601006 42.3488998
236 -71.0555179 42.3418261
237 -71.550513 42.211261
238 -70.7424536 42.1603508
239 -70.916718 42.133686
240 -71.3310855 41.9205752
241 -70.9008836 42.1368802
242 -71.0478348 42.3413704
243 -70.911851 42.570207
244 -71.2829483 42.245426
245 -71.502289 42.016006
246 -70.987891 42.789067
247 -70.7903743 41.9529086
248 -70.96013 42.21701
249 -70.7906071 41.9530637
250 -71.140427 42.342395
251 -71.0036133 42.2606606
252 -71.208268 42.689586
253 -71.0583972 42.3637251
254 -70.8881334 42.5497166
255 -71.0629679 42.3470595
256 -71.1197985 42.3818034
257 -71.344168 41.9535
258 -71.119867 42.3799866
259 -71.3009304 42.636099
260 -70.726334 42.01187
261 -71.2986033 42.2956556
262 -71.1199864 42.3799929
263 -71.1196714 42.3817614
264 -70.965319 42.582898
265 -70.883592 42.119261
266 -71.1026207 42.8137622
267 -71.3395246 41.9498362
268 -71.585863 42.430205
269 -70.852831 42.502589
270 -71.10245 42.308878
271 -70.953711 41.971308
272 -71.5510953 42.2299167
273 -70.9330435 42.1873209
274 -71.2631562 42.3413835
275 -71.15291 42.345645
276 -71.058429 42.3638789
277 -71.4437351 42.4739796
278 -71.0532037 42.3316085
279 -71.2993622 41.9628777
280 -70.9882658 42.0376446
281 -71.070218 42.345436
282 -70.734383 41.7712
283 -71.2507713 42.4062461
284 -71.0873402 42.34648
285 -71.369958 42.531992
286 -71.1214606 42.3086817
287 -71.383045 42.507932
288 -71.344766 42.604875
289 -71.0612743 42.345948
290 -71.0632634 42.3463509
291 -70.9781 42.5621439
292 -71.321051 41.93499
293 -71.153513 42.306324
294 -71.092131 41.901756
295 -71.371708 42.421322
296 -71.0429397 42.3455211
297 -71.039847 41.906113
298 -71.067073 42.344308
299 -71.194205 42.709362
300 -70.834135 42.502432
301 -71.1945822 42.4262589
302 -70.9452806 42.5458221
303 -71.0907011 42.3459507
304 -70.6394841 42.618864
305 -70.6394469 42.618746
306 -71.563263 42.416776
307 -71.655098 42.569687
308 -71.0844509 42.3298924
309 -71.029017 42.572351
310 -71.037243 42.329707
311 -71.3090734 42.6331821
312 -70.9558875 42.527544
313 -71.381301 41.982804
314 -71.2758488 42.3674375
315 -71.1953046 42.7320499
316 -71.420152 42.198291
317 -71.325685 42.662613
318 -71.071965 42.784876
319 -71.1092949 42.3370049
320 -70.722585 42.207692
321 -70.927805 42.778969
322 -71.4803471 42.2931089
323 -71.116346 41.961807
324 -71.1567013 42.7461248
325 -70.9345648 42.549732
326 -71.184594 42.565475
327 -71.347398 41.96701
328 -71.127434 42.784637
329 -71.016112 42.070907
330 -71.100473 42.313594
331 -71.1235923 42.509285
332 -70.878674 42.574159
333 -71.4279417 42.65866
334 -71.271099 42.646144
336 -71.4842562 42.1476251
337 -71.634514 42.043666
338 -70.890009 42.490325
339 -71.1396728 42.6552371
340 -70.876225 42.107078
341 -71.072545 41.852239
342 -71.2594654 42.4015089
343 -70.6343537 42.622794
344 -70.634176 42.622776
345 -70.644001 42.049841
346 -71.209618 42.476653
347 -70.8769676 42.793888
348 -71.0492786 42.340143
349 -71.112894 42.332069
350 -70.660716 41.936644
351 -70.989623 42.6161
352 -71.15532 42.34032
353 -70.820273 42.114349
354 -71.1312771 42.3318027
355 -71.072075 42.341286
356 -71.098905 42.779002
357 -71.0486133 42.3406967
358 -71.0539304 42.3408007
359 -71.0831865 42.4051322
360 -71.058031 42.363752
361 -71.03733 42.090149
362 -71.5430621 42.2905342
363 -71.17052 42.31882
364 -70.765687 41.967067
365 -71.0572479 42.3630397
366 -71.1975467 42.5506774
367 -71.0570517 42.3415592
368 -71.58069 42.341035
369 -71.4007972 42.3250177
370 -71.036466 42.002793
371 -70.858582 42.573626
372 -71.4885362 42.4783256
373 -71.017592 42.042834
374 -70.847034 42.491748
375 -71.071863 42.343833
376 -71.3401258 42.444383
377 -71.656833 42.543853
378 -71.057226 42.34354
379 -71.057014 42.3406638
380 -70.852453 42.506345
381 -71.123811 41.962708
382 -71.0864587 42.3414317
383 -71.1147605 42.331748
384 -71.1001529 42.3409554
385 -71.067792 42.3408236
386 -71.068782 42.341661
387 -71.1147362 42.3318708
388 -71.1120478 42.3319603
389 -71.103956 42.429679
390 -70.995381 42.516936
391 -71.580548 42.674711
392 -71.3857866 42.3112232
393 -71.385901 42.3110433
394 -71.3860558 42.3108
395 -71.142077 42.654706
396 -70.889129 42.11273
397 -71.5265702 42.4045011
398 -71.152571 42.6846402
399 -70.9207615 42.5677689
400 -71.06281 42.3418534
401 -70.968245 42.5846364
402 -70.679278 41.95019
403 -71.1763488 42.4036563
404 -71.138838 42.728426
405 -70.736782 42.192013
406 -71.718961 42.320998
407 -71.0608102 42.3445812
408 -70.8853891 42.5462757
409 -70.942918 42.757025
410 -71.0709521 42.338317
411 -71.0957702 42.8026038
413 -71.283831 42.631496
414 -71.060266 42.79559
415 -71.354757 42.163145
416 -71.0492919 42.3378056
417 -71.0936618 42.3369657
418 -71.2074249 42.6887988
419 -71.0968622 42.3390493
420 -71.0973211 42.3384581
421 -71.2994776 42.647799
422 -71.0978365 42.3387065
423 -71.0547636 42.3400962
424 -71.0219151 42.3378635
425 -71.399002 42.534179
426 -71.0686409 42.3401698
427 -71.142035 42.3103403
428 -71.117942 42.419096
429 -71.107061 42.523581
430 -71.1100303 42.3363081
431 -71.2644663 42.3435772
432 -71.437291 42.346717
433 -71.07613 41.904292
434 -71.052759 42.366251
435 -71.0514037 42.3664035
436 -71.117826 42.3641788
437 -71.660661 42.086879
438 -71.482254 42.147324
439 -71.0237487 42.3662243
440 -71.6328668 42.2844069
441 -70.950954 42.644043
442 -71.1930148 42.3672175
443 -71.0354607 42.33732
444 -71.035405 42.3356287
445 -71.090933 42.812008
446 -71.0238565 42.3356724
447 -71.0581206 42.2993115
448 -71.043801 42.013963
449 -71.36337 42.16507
450 -71.0153764 42.0713267
451 -71.322313 42.466165
452 -70.8893975 42.5250553
453 -71.276732 42.617122
454 -71.14194 42.33766
455 -71.13432 42.339425
456 -71.0577908 42.3549155
457 -71.056431 42.297332
458 -71.0356191 42.281689
459 -70.9444693 42.7529986
460 -71.3809345 42.5713749
461 -71.058881 42.312771
462 -71.0621274 42.0654885
463 -70.99925 42.2566
464 -70.962493 42.014424
465 -70.9204921 42.8457816
466 -71.0802559 42.5725973
467 -71.059782 42.3472438
468 -71.0575007 42.3548715
469 -71.0761564 42.4042363
470 -70.943585 42.703058
471 -71.1462842 42.3643671
472 -70.95718 42.20775
473 -70.559082 41.866616
474 -71.2517075 42.3771208
475 -71.35337 42.15381
476 -71.0516412 42.3211495
477 -71.085917 41.898662
478 -71.136338 42.294121
479 -71.3559305 42.4667352
480 -71.720957 42.489929
481 -71.1011571 42.4198281
